Botines Nike Predator,FEETS,Rosa,Cuero,WINDYSUNNY,SPORTS,Botines de puppy futbol,43,botin1.png,Nike,FOOTBALL
Bufanda Estilo Ingles,NECK,Azul-Beige,Algodon,NEWWINTER,SEMIFORMAL,Bufanda a cuadros estilo ingles.,-,bufanda1.png,NewEngland,SNOW/MOUNTAIN
Bufanda Norte Argentino,NECK,Marron,Algodon,NEWWINTER,INFORMAL,Bufanda con dibujo de una llama,-,bufanda2.png,Mapuche,SNOW/MOUNTAIN
Buso Rasposo,CHEST2,Negro,Algodon,MEDIUM,SEMIFORMAL,Buso negro para cualquier uso,M,buso1.png,Wrangler,NIGHT_OUT/WORK
Buso de Inglaterra,CHEST2,Verde,Lana,NEWWINTER,SEMIFORMAL,Buso estilo ingles,M,buso2.png,NewEngland,NIGHT_OUT/WORK
Buso Polo,CHEST2,Negro,Algodon,HUMIDWINTER,SEMIFORMAL,Buso con cierre en el cuello,M,buso3.png,Polo,NIGHT_OUT/WORK
Buso de Praga,CHEST2,Violeta,Algodon,SUMMERNIGHT,INFORMAL,Buso de la Universidad de Praga,M,buso4.png,Praga,HOME/EVERYDAY
Camisa cuadriculado fino,CHEST,Celeste,Algodon,HOTSUMMER,INFORMAL,Camisa para usar en verano,M,camisa1.png,Kmiza,EVERYDAY
Camisa lisa,CHEST,Gris,Algodon,HOTSUMMER,INFORMAL,Camisa manga corta para dias de calor,M,camisa2.png,Kmiza,EVERYDAY/BEACH
Camisa a cuadros,CHEST,Azul,Algodon,HOTSUMMER,INFORMAL,Camisa manga corta para dias de calor,M,camisa3.png,Kmiza,EVERYDAY/BEACH
Camisa lisa formal,CHEST,Blanca,Algodon,MEDIUM,FORMAL,Camisa para usar en evento formal,M,camisa4.png,Rsh,VERY_ELEGANT
Camisa fomal a cuadros,CHEST,Azul,Algodon,MEDIUM,FORMAL,Camisa manga larga,M,camisa5.png,Zman,ELEGANT_SPORT/WORK
Camisa Salida a cuadros,CHEST,Rojo-Azul,Algodon,MEDIUM,SEMIFORMAL,Camisa manga larga,M,camisa6.png,Felix,NIGHT_OUT
Camisa con flores,CHEST,Azul,Algodon,MEDIUM,SEMIFORMAL,Camisa semi-formal para salidas,M,camisa7.png,Aeropostale,NIGHT_OUT
